GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Quintile Means: - Lowest Quintile,Margin of Error; Quintile Means: - Lowest Quintile,Estimate; Quintile Means: - Second Quintile,Margin of Error; Quintile Means: - Second Quintile,Estimate; Quintile Means: - Third Quintile,Margin of Error; Quintile Means: - Third Quintile,Estimate; Quintile Means: - Fourth Quintile,Margin of Error; Quintile Means: - Fourth Quintile,Estimate; Quintile Means: - Highest Quintile,Margin of Error; Quintile Means: - Highest Quintile,Estimate; Top 5 Percent,Margin of Error; Top 5 Percent
0500000US53025,53025,"Grant County, Washington",11906,1692,30197,3066,47939,3633,72218,5851,143670,14684,225288,40939
0500000US53027,53027,"Grays Harbor County, Washington",11816,2297,31464,3811,49798,3990,79913,6704,166076,32537,294642,110220
0500000US53029,53029,"Island County, Washington",14966,3220,41094,3952,64798,4263,93321,6622,194432,29224,337072,101624
0500000US53033,53033,"King County, Washington",18604,598,51271,1188,86253,1566,132573,1891,293225,9171,522723,30037
0500000US53035,53035,"Kitsap County, Washington",17019,1553,43596,2362,69234,2967,100288,3565,197990,14969,344831,49418
0500000US53041,53041,"Lewis County, Washington",12025,2146,30051,3380,46270,4586,72887,5305,132667,10405,205305,31427
0500000US53053,53053,"Pierce County, Washington",16249,763,40981,1257,64675,1506,94560,2269,196935,9197,348650,31271
0500000US53057,53057,"Skagit County, Washington",15846,2152,39097,2841,61069,3882,90992,4913,182598,18150,311610,58950
0500000US53061,53061,"Snohomish County, Washington",20037,1342,49876,1658,78309,1829,114526,2508,214789,8085,334808,22794
0500000US53063,53063,"Spokane County, Washington",13011,832,32862,1364,53187,2037,81283,2359,174816,9312,307339,29350
0500000US53067,53067,"Thurston County, Washington",15133,1840,41044,2633,65895,2750,95428,3679,178322,9059,276853,28137
0500000US53073,53073,"Whatcom County, Washington",12199,1357,33442,2373,56639,3489,86499,4654,166990,10684,255764,29253
0500000US53077,53077,"Yakima County, Washington",13080,1321,31550,2126,48543,2477,74518,3506,160685,24833,296303,89767
0500000US54003,54003,"Berkeley County, West Virginia",16439,3035,37633,3432,59578,5539,90166,5518,178980,24429,308865,82035
0500000US54011,54011,"Cabell County, West Virginia",7360,1393,21815,2460,37980,3526,63293,5288,151822,21460,285733,74373
