SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,STATE_SCH_ID,NCESID,COOP,COOP_CODE,DEMOGRAPHIC,SUPPRESSED,GRADS,ACADEMIC,CAREER,NONDUP,EL,BONUS,TRANSITIONRATE,TRANRATEWBONUS
20182019,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,ACD,N,23,0,9,9,0,3,39.1,42.4
20182019,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,TST,N,244,111,94,177,1,23,72.5,74.9
20182019,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,SXF,N,130,70,48,101,0,4,77.7,78.5
20182019,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,MIL,Y,0,,,,,,,
20182019,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,MIG,Y,0,,,,,,,
20182019,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,LUP,N,99,24,40,58,0,11,58.6,61.4
20182019,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,LUN,N,145,87,54,119,1,12,82.1,84.1
20182019,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,LEP,Y,6,,,,,,,
20182019,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,LEN,Y,238,,,,,,,
20182019,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,HOM,Y,1,,,,,,,
20182019,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,FOS,Y,0,,,,,,,
20182019,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,ETW,N,210,99,87,158,0,23,75.2,78
20182019,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,ETP,Y,1,,,,,,,
20182019,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,ETO,N,12,5,4,8,0,0,66.7,66.7
20182019,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,ETI,Y,0,,,,,,,
20182019,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,ETH,N,14,4,0,5,1,0,35.7,35.7
20182019,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,ETB,Y,7,,,,,,,
20182019,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,ETA,Y,0,,,,,,,
20182019,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,ELN,Y,236,,,,,,,
20182019,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,ELM,Y,8,,,,,,,
20182019,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,CSG,N,54,12,16,28,1,3,51.9,53.2
20182019,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,ALT,Y,0,,,,,,,
20182019,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,ACO,N,221,111,85,168,1,20,76,78.3
20182019,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,SXM,N,114,41,46,76,1,19,66.7,70.8
20182019,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,ETH,Y,5,,,,,,,
20182019,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,ETB,Y,7,,,,,,,
20182019,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,ETO,Y,5,,,,,,,
20182019,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,ETP,Y,0,,,,,,,
20182019,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,ETW,N,202,103,76,130,0,17,64.4,66.5
20182019,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,FOS,Y,3,,,,,,,
20182019,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,HOM,Y,5,,,,,,,
20182019,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,LEN,Y,217,,,,,,,
20182019,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,LEP,Y,2,,,,,,,
20182019,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,LUN,N,116,74,48,87,0,9,75,76.9
20182019,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,LUP,N,103,32,32,48,0,8,46.6,48.5
20182019,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,MIG,Y,0,,,,,,,
20182019,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,MIL,Y,0,,,,,,,
20182019,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,SXF,N,110,58,49,81,0,14,73.6,76.8
20182019,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,SXM,N,109,48,31,54,0,3,49.5,50.2
20182019,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,TST,N,219,106,80,135,0,17,61.6,63.6
20182019,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,ETI,Y,0,,,,,,,
20182019,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,ETA,Y,0,,,,,,,
20182019,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,ELN,Y,217,,,,,,,
20182019,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,ELM,Y,2,,,,,,,
20182019,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,CSG,N,27,4,4,6,0,0,22.2,22.2
20182019,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,ALT,Y,0,,,,,,,
20182019,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,ACO,N,208,105,80,134,0,17,64.4,66.5
20182019,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,ACD,N,11,1,0,1,0,0,9.1,9.1
20182019,010,BOYD,012,Ashland Independent,,---District Total---,012,,,KEDC,903,ETH,Y,5,,,,,,,
20182019,010,BOYD,012,Ashland Independent,,---District Total---,012,,,KEDC,903,ACD,N,11,1,0,1,0,0,9.1,9.1
20182019,010,BOYD,012,Ashland Independent,,---District Total---,012,,,KEDC,903,ETO,Y,5,,,,,,,
