SCHOOL YEAR,COUNTY NUMBER,COUNTY NAME,DISTRICT NUMBER,DISTRICT NAME,SCHOOL NUMBER,SCHOOL NAME,SCHOOL CODE,STATE SCHOOL ID,NCES ID,CO-OP,CO-OP CODE,COLLEGE COUNT,TECHNICAL TRAINING COUNT,MILITARY COUNT,WORKING COUNT,WORK AND SCHOOL COUNT,OTHER COUNT,COLLEGE PERCENT,TECHNICAL TRAINING PERCENT,MILITARY PERCENT,WORKING PERCENT,WORK AND SCHOOL PERCENT,OTHER PERCENT
20192020,030,DAVIESS,472,Owensboro Independent,015,Emerson Academy,472015,030472015,210459002011,GRREC,902,*,*,*,3,*,23,*,*,*,11.5,*,88.5
20192020,030,DAVIESS,472,Owensboro Independent,110,Owensboro High School,472110,030472110,210459001136,GRREC,902,140,9,4,92,3,12,53.8,3.5,1.5,35.4,1.2,4.6
20192020,095,OWSLEY,475,Owsley County,"",---District Total---,475,"","",KVEC,904,10,12,*,8,4,5,25.6,30.8,*,20.5,10.3,12.8
20192020,095,OWSLEY,475,Owsley County,080,Owsley County High School,475080,095475080,210462001143,KVEC,904,10,12,*,8,4,5,25.6,30.8,*,20.5,10.3,12.8
20192020,079,MCCRACKEN,476,Paducah Independent,"",---District Total---,476,"","",WKEC,908,139,*,6,22,3,17,74.3,*,3.2,11.8,1.6,9.1
20192020,079,MCCRACKEN,476,Paducah Independent,016,Choices Educational Center,476016,079476016,210465002364,WKEC,908,*,*,*,*,*,3,*,*,*,*,*,100.0
20192020,079,MCCRACKEN,476,Paducah Independent,170,Paducah Tilghman High School,476170,079476170,210465001154,WKEC,908,139,*,6,22,3,14,75.5,*,3.3,12.0,1.6,7.6
20192020,058,JOHNSON,477,Paintsville Independent,"",---District Total---,477,"","",KEDC,903,38,*,3,7,6,*,67.9,*,5.4,12.5,10.7,*
20192020,058,JOHNSON,477,Paintsville Independent,020,Paintsville High School,477020,058477020,210468001156,KEDC,903,38,*,3,7,6,*,67.9,*,5.4,12.5,10.7,*
20192020,009,BOURBON,478,Paris Independent,"",---District Total---,478,"","",CKEC,901,35,*,3,8,*,*,72.9,*,6.3,16.7,*,*
20192020,009,BOURBON,478,Paris Independent,020,Paris High School,478020,009478020,210471001158,CKEC,901,35,*,3,8,*,*,72.9,*,6.3,16.7,*,*
20192020,096,PENDLETON,481,Pendleton County,"",---District Total---,481,"","",NKCES,905,74,*,9,81,7,28,37,*,4.5,40.5,3.5,14
20192020,096,PENDLETON,481,Pendleton County,070,Pendleton County High School,481070,096481070,210474001161,NKCES,905,74,*,9,81,7,28,37.0,*,4.5,40.5,3.5,14.0
20192020,097,PERRY,485,Perry County,"",---District Total---,485,"","",KVEC,904,136,25,*,33,17,38,54.4,10,*,13.2,6.8,15.2
20192020,097,PERRY,485,Perry County,010,Buckhorn Childrens Center,485010,097485010,210477002422,KVEC,904,*,*,*,*,*,*,*,*,*,*,*,*
20192020,097,PERRY,485,Perry County,130,Buckhorn School,485130,097485130,210477001166,KVEC,904,22,*,*,4,5,*,68.8,*,*,12.5,15.6,*
20192020,097,PERRY,485,Perry County,140,Learning Academy,485140,097485140,210477002398,KVEC,904,*,*,*,*,*,10,*,6.7,*,*,*,66.7
20192020,097,PERRY,485,Perry County,250,Perry County Central High School,485250,097485250,210477000755,KVEC,904,112,24,*,27,12,26,55.4,11.9,*,13.4,5.9,12.9
20192020,098,PIKE,491,Pike County,"",---District Total---,491,"","",KVEC,904,220,127,15,64,24,140,37.3,21.5,2.5,10.8,4.1,23.7
20192020,098,PIKE,491,Pike County,054,East Ridge High School,491054,098491054,210480001948,KVEC,904,44,45,*,16,*,*,40.0,40.9,*,14.5,*,*
20192020,098,PIKE,491,Pike County,090,Belfry High School,491090,098491090,210480001179,KVEC,904,90,16,7,16,11,*,63.4,11.3,4.9,11.3,7.7,*
20192020,098,PIKE,491,Pike County,190,Pike County Central High School,491190,098491190,210480000505,KVEC,904,70,48,*,29,4,*,46.4,31.8,*,19.2,2.6,*
20192020,098,PIKE,491,Pike County,954,Phelps High School,491954,098491954,210480001204,KVEC,904,16,18,6,3,7,*,32.0,36.0,12.0,6.0,14.0,*
20192020,098,PIKE,491,Pike County,980,Shelby Valley High School,491980,098491980,210480001686,KVEC,904,*,*,*,*,*,137,*,*,*,*,*,100.0
20192020,098,PIKE,492,Pikeville Independent,"",---District Total---,492,"","",KVEC,904,80,*,*,8,*,*,87,*,*,8.7,*,*
20192020,098,PIKE,492,Pikeville Independent,030,Pikeville High School,492030,098492030,210483001214,KVEC,904,80,*,*,8,*,*,87.0,*,*,8.7,*,*
20192020,007,BELL,493,Pineville Independent,"",---District Total---,493,"","",SESC,907,22,*,*,10,*,3,56.4,5.1,*,25.6,*,7.7
20192020,007,BELL,493,Pineville Independent,030,Pineville Independent School,493030,007493030,210486002393,SESC,907,22,*,*,10,*,3,56.4,5.1,*,25.6,*,7.7
20192020,099,POWELL,495,Powell County,"",---District Total---,495,"","",CKEC,901,92,8,7,16,14,10,62.6,5.4,4.8,10.9,9.5,6.8
20192020,099,POWELL,495,Powell County,012,Powell County Academy,495012,099495012,210489002360,CKEC,901,3,*,*,*,*,*,50.0,16.7,*,*,*,*
20192020,099,POWELL,495,Powell County,040,Powell County High School,495040,099495040,210489001220,CKEC,901,89,7,7,15,14,9,63.1,5.0,5.0,10.6,9.9,6.4
20192020,100,PULASKI,501,Pulaski County,"",---District Total---,501,"","",SESC,907,350,4,14,127,*,66,62.2,*,2.5,22.6,*,11.7
20192020,100,PULASKI,501,Pulaski County,071,Pulaski Day Treatment~Eagle Academy,501071,100501071,210495001554,SESC,907,6,*,*,3,*,*,50.0,16.7,*,25.0,*,*
20192020,100,PULASKI,501,Pulaski County,380,Pulaski County High School,501380,100501380,210495001233,SESC,907,155,*,8,66,*,24,60.5,*,3.1,25.8,*,9.4
20192020,100,PULASKI,501,Pulaski County,400,Southwestern High School,501400,100501400,210495000506,SESC,907,189,*,6,58,*,42,64.1,*,2.0,19.7,*,14.2
20192020,045,GREENUP,502,Raceland-Worthington Independent,"",---District Total---,502,"","",KEDC,903,70,*,4,10,4,3,76.9,*,4.4,11,4.4,3.3
20192020,045,GREENUP,502,Raceland-Worthington Independent,011,Raceland-Worthington Schools Campus B,502011,045502011,210498002015,KEDC,903,*,*,*,*,*,*,*,*,*,*,*,*
20192020,045,GREENUP,502,Raceland-Worthington Independent,020,Raceland-Worthington High School,502020,045502020,210498001240,KEDC,903,70,*,4,7,3,*,83.3,*,4.8,8.3,3.6,*
20192020,045,GREENUP,502,Raceland-Worthington Independent,160,Raceland-Worthington Schools Campus A,502160,045502160,210498001465,KEDC,903,*,*,*,3,*,*,*,*,*,50.0,*,*
20192020,101,ROBERTSON,505,Robertson County,"",---District Total---,505,"","",KEDC,903,15,4,*,*,*,*,65.2,17.4,*,*,*,*
20192020,101,ROBERTSON,505,Robertson County,010,Robertson County School,505010,101505010,210504001246,KEDC,903,15,4,*,*,*,*,65.2,17.4,*,*,*,*
20192020,102,ROCKCASTLE,511,Rockcastle County,"",---District Total---,511,"","",SESC,907,67,8,12,79,21,16,33,3.9,5.9,38.9,10.3,7.9
20192020,102,ROCKCASTLE,511,Rockcastle County,022,Rockcastle Academy for Academic Achievement,511022,102511022,210507001906,SESC,907,*,*,*,9,*,*,*,*,*,90.0,*,*
20192020,102,ROCKCASTLE,511,Rockcastle County,310,Rockcastle County High School,511310,102511310,210507001252,SESC,907,67,8,12,70,21,15,34.7,4.1,6.2,36.3,10.9,7.8
20192020,103,ROWAN,515,Rowan County,"",---District Total---,515,"","",KEDC,903,122,23,4,57,24,4,52.1,9.8,1.7,24.4,10.3,1.7
20192020,103,ROWAN,515,Rowan County,130,Morehead Youth Development Center,515130,103515130,210510001258,KEDC,903,*,*,*,*,*,*,*,*,*,*,*,*
20192020,103,ROWAN,515,Rowan County,132,Bluegrass Discovery Academy High,515132,103515132,210510002342,KEDC,903,*,*,*,4,3,*,*,*,*,57.1,42.9,*
20192020,103,ROWAN,515,Rowan County,180,Rowan County Senior High School,515180,103515180,210510001260,KEDC,903,122,23,4,53,21,*,54.2,10.2,1.8,23.6,9.3,*
20192020,104,RUSSELL,521,Russell County,"",---District Total---,521,"","",GRREC,902,92,*,6,67,24,22,43.6,*,2.8,31.8,11.4,10.4
20192020,104,RUSSELL,521,Russell County,240,Russell County High School,521240,104521240,210516001265,GRREC,902,92,*,6,67,24,22,43.6,*,2.8,31.8,11.4,10.4
20192020,045,GREENUP,522,Russell Independent,"",---District Total---,522,"","",KEDC,903,96,36,6,17,7,6,57.1,21.4,3.6,10.1,4.2,3.6
20192020,045,GREENUP,522,Russell Independent,050,Russell High School,522050,045522050,210513001272,KEDC,903,96,36,6,17,7,6,57.1,21.4,3.6,10.1,4.2,3.6
20192020,071,LOGAN,523,Russellville Independent,"",---District Total---,523,"","",GRREC,902,28,*,*,27,*,11,40.6,*,*,39.1,*,15.9
20192020,071,LOGAN,523,Russellville Independent,030,Russellville High School,523030,071523030,210519001275,GRREC,902,28,*,*,27,*,11,40.6,*,*,39.1,*,15.9
20192020,105,SCOTT,525,Scott County,"",---District Total---,525,"","",CKEC,901,333,14,17,92,59,88,55.2,*,2.8,15.3,9.8,14.6
20192020,105,SCOTT,525,Scott County,005,Phoenix Horizon Community,525005,105525005,210526002432,CKEC,901,*,*,*,11,9,53,*,*,*,14.9,12.2,71.6
20192020,105,SCOTT,525,Scott County,040,Scott County High School,525040,105525040,210526001283,CKEC,901,333,13,17,81,50,35,62.9,*,3.2,15.3,9.5,6.6
