"GEO_ID","NAME","B20017I_001E","B20017I_001M","B20017I_002E","B20017I_002M","B20017I_003E","B20017I_003M","B20017I_004E","B20017I_004M","B20017I_005E","B20017I_005M","B20017I_006E","B20017I_006M","B20017I_007E","B20017I_007M"
"id","Geographic Area Name","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Total","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Total","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Total","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Total","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Worked full-time, year-round in the past 12 months","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Worked full-time, year-round in the past 12 months","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Other","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Other","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Total","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Total","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Worked full-time, year-round in the past 12 months","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Worked full-time, year-round in the past 12 months","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Other","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Other"
"0500000US12117","Seminole County, Florida","28956","2187","31368","1898","37338","4306","11832","3865","26564","2046","33115","3661","11852","1492"
"0500000US12119","Sumter County, Florida","17616","8042","26322","14512","39400","17152","13599","9723","11836","2939","50072","16284","7414","7508"
"0500000US12127","Volusia County, Florida","26891","2737","30233","4489","33926","1769","11183","1123","23598","2514","31620","5386","11690","2114"
"0500000US12131","Walton County, Florida","29445","9574","21702","6987","33038","28719","20239","18023","37021","9593","37500","4040","21725","43421"
"0500000US13013","Barrow County, Georgia","30144","4208","35297","11149","41197","13509","10205","11207","27641","19785","30803","2110","5928","11446"
"0500000US13015","Bartow County, Georgia","22588","7745","26150","10537","27286","28156","6019","18128","12743","19103","23692","6289","3409","1238"
"0500000US13021","Bibb County, Georgia","26087","3856","26373","968","31091","2559","25213","8025","14241","24170","38112","23202","12326","8229"
"0500000US13031","Bulloch County, Georgia","6344","1154","5753","2993","21761","27794","3836","4407","7159","2161","-","**","6564","1386"
"0500000US13045","Carroll County, Georgia","27672","7984","29440","2318","31298","6498","3980","3317","7910","20810","26025","4437","6087","15669"
"0500000US13047","Catoosa County, Georgia","25156","6347","-","**","-","**","-","**","-","**","-","**","-","**"
"0500000US13051","Chatham County, Georgia","30168","5028","33060","4309","34827","4306","9810","14840","18661","4643","50217","25760","10012","5247"
"0500000US13057","Cherokee County, Georgia","24981","4046","31098","5118","35857","5581","11603","18427","22812","4047","25726","5334","15982","10195"
"0500000US13059","Clarke County, Georgia","16430","2172","15903","4898","23294","1944","8777","4067","16657","3718","22147","1686","14959","5415"
"0500000US13063","Clayton County, Georgia","24803","3046","31175","3754","35559","4487","15656","8120","19110","3475","25960","2638","2,500-","***"
"0500000US13067","Cobb County, Georgia","28792","3584","32194","3388","36389","3029","11862","5114","22403","2400","30255","5328","11909","1086"
"0500000US13073","Columbia County, Georgia","22694","14246","21793","23770","51656","51622","11356","3772","28356","23668","42685","17019","15054","12036"
"0500000US13077","Coweta County, Georgia","28219","3735","32185","11343","37457","21244","15420","6809","25473","7818","26062","3281","5628","4732"
"0500000US13089","DeKalb County, Georgia","26248","2435","27946","4080","30780","1382","18166","2822","22091","3858","32356","5006","13180","1828"
"0500000US13095","Dougherty County, Georgia","18562","4271","17336","2836","18720","2766","13486","17554","26446","12114","27917","7326","-","**"
"0500000US13097","Douglas County, Georgia","28429","6561","38691","11301","38537","18428","40275","41800","24176","5759","26105","9276","6232","952"
"0500000US13113","Fayette County, Georgia","37619","7672","39368","7284","42445","33746","4227","9594","31750","12484","50852","16299","5822","12502"
"0500000US13115","Floyd County, Georgia","25632","3559","28537","3539","27478","3014","-","**","9900","11343","22156","10027","8010","5821"
"0500000US13117","Forsyth County, Georgia","26921","5176","31846","11152","35518","11682","19396","20727","25053","4342","29238","16974","7189","4060"
"0500000US13121","Fulton County, Georgia","30423","2956","31417","1695","35803","6598","15218","7846","25854","3423","31563","4632","12401","5767"
"0500000US13127","Glynn County, Georgia","17086","9830","25987","8817","30822","5010","5933","1305","12370","8720","25025","54964","4812","13080"
"0500000US13135","Gwinnett County, Georgia","28479","1873","33181","2718","36197","2143","19630","5665","22292","1479","25986","1827","10573","1352"
"0500000US13139","Hall County, Georgia","23984","2734","29997","4044","30810","3403","18290","8614","20058","1381","22083","1833","8843","3446"
"0500000US13151","Henry County, Georgia","29420","16297","30310","17437","32396","30099","4434","4592","28212","44236","50155","46530","5785","2059"
"0500000US13157","Jackson County, Georgia","26062","5615","25192","25625","34265","37795","11730","14344","26125","4037","27307","11161","11817","1906"
"0500000US13185","Lowndes County, Georgia","29081","24285","41481","8689","41647","17586","41156","434","20079","27851","29298","19921","2,500-","***"
"0500000US13215","Muscogee County, Georgia","29483","3503","32479","19263","42319","17624","7540","4308","21538","5309","27107","7939","14397","4347"
"0500000US13217","Newton County, Georgia","17375","5771","42158","11129","46347","5476","6262","21563","14156","4216","21406","12373","11528","3245"
"0500000US13223","Paulding County, Georgia","36879","14158","70214","28999","70496","23314","-","**","18739","15299","40197","24706","3666","16998"
