GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Less than 9th grade,Margin of Error; Male: - Less than 9th grade,"Estimate; Male: - 9th to 12th grade, no diploma","Margin of Error; Male: - 9th to 12th grade, no diploma",Estimate; Male: - Regular high school diploma,Margin of Error; Male: - Regular high school diploma,Estimate; Male: - GED or alternative credential,Margin of Error; Male: - GED or alternative credential,"Estimate; Male: - Some college, no degree","Margin of Error; Male: - Some college, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Graduate or professional degree,Margin of Error; Male: - Graduate or professional degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Less than 9th grade,Margin of Error; Female: - Less than 9th grade,"Estimate; Female: - 9th to 12th grade, no diploma","Margin of Error; Female: - 9th to 12th grade, no diploma",Estimate; Female: - Regular high school diploma,Margin of Error; Female: - Regular high school diploma,Estimate; Female: - GED or alternative credential,Margin of Error; Female: - GED or alternative credential,"Estimate; Female: - Some college, no degree","Margin of Error; Female: - Some college, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Graduate or professional degree,Margin of Error; Female: - Graduate or professional degree
0500000US28075,28075,"Lauderdale County, Mississippi",30405,206,14587,206,431,269,540,464,3640,814,1384,611,2834,763,2036,754,2551,797,1171,566,15818,206,108,119,1101,518,3916,900,533,300,3958,725,2460,722,2257,709,1485,512
0500000US28081,28081,"Lee County, Mississippi",39890,206,18736,206,754,451,2281,778,3024,670,976,461,5006,916,1405,582,3639,905,1651,497,21154,206,384,183,1337,513,3061,774,1268,541,5878,950,3255,802,3993,920,1978,592
0500000US28089,28089,"Madison County, Mississippi",40045,143,19013,143,173,160,399,314,2276,973,272,195,3678,871,1372,659,5895,974,4948,929,21032,206,250,213,866,496,2547,676,409,365,4763,1011,1110,443,6821,1191,4266,1008
0500000US28121,28121,"Rankin County, Mississippi",77271,659,36360,349,1360,649,2818,955,6677,1412,2604,889,9127,1518,3034,1041,7354,1396,3386,1051,40911,312,686,451,1999,899,7977,1535,1832,805,12378,1833,5100,1424,6914,1461,4025,1101
0500000US29019,29019,"Boone County, Missouri",84532,322,40517,191,294,205,1951,941,6993,1333,1044,586,9335,1758,3200,1072,9902,1434,7798,1416,44015,132,365,279,1506,605,7255,1117,945,459,7984,1212,3518,892,12563,1562,9879,1470
0500000US29021,29021,"Buchanan County, Missouri",52571,181,25518,181,623,336,2146,728,7993,1125,2341,647,6604,886,1203,440,2947,599,1661,441,27053,181,656,440,2178,533,8077,983,1174,435,7487,1158,1597,583,3917,714,1967,655
0500000US29031,29031,"Cape Girardeau County, Missouri",45014,87,21514,87,620,330,1298,383,6141,844,1418,508,4043,766,748,344,5772,847,1474,493,23500,181,953,459,1379,486,6725,849,903,348,5606,957,1681,616,3336,750,2917,675
0500000US29037,29037,"Cass County, Missouri",61666,181,29389,181,602,380,1510,696,8116,1178,1588,550,9206,1500,1799,541,4934,977,1634,559,32277,181,639,372,1714,713,9794,1271,1597,619,8059,1049,2236,729,4840,925,3398,768
0500000US29043,29043,"Christian County, Missouri",51865,181,24786,181,805,435,2019,717,7030,961,1043,472,5783,922,1421,517,4498,957,2187,674,27079,181,446,311,1234,402,7522,1167,1407,674,6135,1165,2929,747,4894,968,2512,637
0500000US29047,29047,"Clay County, Missouri",133996,181,64146,181,1219,505,3861,1080,17825,1716,2540,842,14056,1359,4895,1070,13553,1474,6197,1032,69850,181,658,321,3647,869,17848,1733,2448,778,16796,1956,5594,1088,15083,1560,7776,1061
