"GEO_ID","NAME","B15002B_001E","B15002B_001M","B15002B_002E","B15002B_002M","B15002B_003E","B15002B_003M","B15002B_004E","B15002B_004M","B15002B_005E","B15002B_005M","B15002B_006E","B15002B_006M","B15002B_007E","B15002B_007M","B15002B_008E","B15002B_008M","B15002B_009E","B15002B_009M","B15002B_010E","B15002B_010M","B15002B_011E","B15002B_011M","B15002B_012E","B15002B_012M","B15002B_013E","B15002B_013M","B15002B_014E","B15002B_014M","B15002B_015E","B15002B_015M","B15002B_016E","B15002B_016M","B15002B_017E","B15002B_017M","B15002B_018E","B15002B_018M","B15002B_019E","B15002B_019M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Less than 9th grade","Margin of Error!!Total!!Male!!Less than 9th grade","Estimate!!Total!!Male!!9th to 12th grade, no diploma","Margin of Error!!Total!!Male!!9th to 12th grade, no diploma","Estimate!!Total!!Male!!Regular high school diploma","Margin of Error!!Total!!Male!!Regular high school diploma","Estimate!!Total!!Male!!GED or alternative credential","Margin of Error!!Total!!Male!!GED or alternative credential","Estimate!!Total!!Male!!Some college, no degree","Margin of Error!!Total!!Male!!Some college, no degree","Estimate!!Total!!Male!!Associate's degree","Margin of Error!!Total!!Male!!Associate's degree","Estimate!!Total!!Male!!Bachelor's degree","Margin of Error!!Total!!Male!!Bachelor's degree","Estimate!!Total!!Male!!Graduate or professional degree","Margin of Error!!Total!!Male!!Graduate or professional degree","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Less than 9th grade","Margin of Error!!Total!!Female!!Less than 9th grade","Estimate!!Total!!Female!!9th to 12th grade, no diploma","Margin of Error!!Total!!Female!!9th to 12th grade, no diploma","Estimate!!Total!!Female!!Regular high school diploma","Margin of Error!!Total!!Female!!Regular high school diploma","Estimate!!Total!!Female!!GED or alternative credential","Margin of Error!!Total!!Female!!GED or alternative credential","Estimate!!Total!!Female!!Some college, no degree","Margin of Error!!Total!!Female!!Some college, no degree","Estimate!!Total!!Female!!Associate's degree","Margin of Error!!Total!!Female!!Associate's degree","Estimate!!Total!!Female!!Bachelor's degree","Margin of Error!!Total!!Female!!Bachelor's degree","Estimate!!Total!!Female!!Graduate or professional degree","Margin of Error!!Total!!Female!!Graduate or professional degree"
"0500000US10001","Kent County, Delaware","27704","1198","11954","847","151","145","1566","677","4234","1274","342","221","3143","860","520","329","1458","826","540","337","15750","729","635","342","2835","1136","4206","1292","233","279","3656","1115","1351","586","1682","716","1152","653"
"0500000US10003","New Castle County, Delaware","94492","1260","42633","885","648","388","3655","913","18182","1953","1435","608","8219","1555","2353","1147","5131","1133","3010","997","51859","657","1248","582","1525","673","19785","2214","942","383","8377","1740","4387","1194","7302","1384","8293","1649"
"0500000US10005","Sussex County, Delaware","17059","997","7478","758","167","171","1582","759","3393","939","271","239","1005","739","409","410","437","346","214","179","9581","628","283","222","1231","668","3838","1027","381","270","1371","635","725","420","1050","502","702","511"
"0500000US11001","District of Columbia, District of Columbia","218765","2313","95615","1517","3994","1139","8132","1491","24050","2829","7951","1475","21606","2565","3557","1108","14971","2166","11354","1585","123150","1470","3454","1139","10506","1949","35005","3528","5436","1387","25385","2529","6895","1805","18904","2475","17565","2139"
"0500000US12001","Alachua County, Florida","33704","2638","15650","1190","807","671","1073","642","5246","1600","360","280","5565","1407","810","537","758","411","1031","789","18054","2042","920","500","1782","620","4195","1314","403","474","4627","1229","3025","1104","2437","1054","665","301"
"0500000US12005","Bay County, Florida","11969","1028","6108","440","197","318","879","574","1733","742","387","345","1826","1072","262","228","786","512","38","65","5861","879","474","416","442","358","1471","565","239","305","1920","633","643","580","438","309","234","208"
"0500000US12009","Brevard County, Florida","38964","1683","17886","1018","839","545","1852","911","4992","1327","1725","784","4760","1575","1169","572","2079","947","470","422","21078","992","522","540","2851","1147","5176","1259","736","460","4215","1235","3619","1156","2292","1011","1667","863"
"0500000US12011","Broward County, Florida","360777","4397","162268","2614","7365","2289","16434","3351","48749","4632","6421","1682","34956","3769","17754","3200","20789","3000","9800","2186","198509","2886","12094","2433","17681","2456","48657","4550","5703","1485","44272","4287","20544","3115","29446","3497","20112","3006"
"0500000US12015","Charlotte County, Florida","7399","598","3866","419","932","758","393","268","1120","501","318","243","474","350","59","110","247","187","323","369","3533","557","0","229","0","229","1060","665","76","135","1368","642","449","348","267","352","313","339"
"0500000US12019","Clay County, Florida","16848","1369","7707","1203","349","514","439","489","2397","1199","140","225","1981","834","865","609","840","539","696","521","9141","808","254","258","263","284","1349","1031","335","411","4685","1109","1151","720","936","615","168","228"
"0500000US12021","Collier County, Florida","16259","1038","7311","650","650","382","1015","722","1213","711","320","327","1898","1164","1004","842","656","480","555","472","8948","788","1187","702","709","467","2395","724","210","214","2042","925","1023","644","1174","735","208","271"
"0500000US12023","Columbia County, Florida","7667","882","4215","676","325","245","751","324","1518","531","234","161","923","446","383","325","21","39","60","97","3452","467","345","318","95","157","1292","844","227","228","1241","738","139","221","12","23","101","170"
"0500000US12031","Duval County, Florida","175124","1966","77023","1337","3048","1013","8828","1730","22918","2810","4405","1291","19163","2885","6085","1808","9103","1861","3473","1730","98101","1252","3241","919","8547","1388","27515","2906","2481","816","23745","2604","10105","1898","13651","2153","8816","1931"
"0500000US12033","Escambia County, Florida","42887","1299","19077","884","642","395","2316","817","6226","1425","1095","720","4888","1229","1068","610","2054","1256","788","397","23810","775","847","454","3406","994","7476","1629","648","470","5188","1168","2766","1157","2727","1068","752","320"
"0500000US12035","Flagler County, Florida","8405","1038","3894","508","67","104","819","569","1206","666","164","300","725","462","68","123","609","464","236","291","4511","803","490","417","478","655","781","638","82","133","1585","840","420","365","328","269","347","357"
"0500000US12053","Hernando County, Florida","7360","965","3504","818","133","183","410","575","372","310","253","249","1461","846","446","365","429","370","0","229","3856","495","203","211","123","158","1202","440","80","110","790","492","554","418","422","378","482","396"
"0500000US12057","Hillsborough County, Florida","149456","3328","66681","1885","2399","788","6308","1414","21065","2481","3682","935","11711","1942","7680","1762","9668","1947","4168","1179","82775","2100","3293","1181","5531","1216","24070","2591","2019","732","16440","2508","9259","1896","14080","2529","8083","1832"
"0500000US12069","Lake County, Florida","25443","1981","11547","1147","113","171","1680","774","3389","1137","1038","637","3184","818","1074","821","614","439","455","641","13896","1358","111","199","527","382","4637","933","272","293","2343","1189","2355","1309","2877","1637","774","591"
"0500000US12071","Lee County, Florida","41718","1634","19504","572","1365","761","2823","1058","5630","1343","1553","684","2436","958","1146","509","2346","1247","2205","1073","22214","1454","1289","739","2974","1260","6835","1546","352","306","3482","1038","2000","753","3914","1543","1368","748"
"0500000US12073","Leon County, Florida","49291","712","21280","399","826","500","1933","735","7073","1381","1516","768","5303","1269","1354","720","2205","772","1070","576","28011","524","1233","499","3158","968","5113","1113","988","579","5497","1175","3234","1099","5557","1466","3231","1090"
"0500000US12081","Manatee County, Florida","20817","1384","9355","611","720","607","703","470","3582","1063","516","343","1718","783","129","158","780","747","1207","651","11462","1056","338","260","909","506","4536","1448","637","527","2455","940","837","484","1009","587","741","675"
"0500000US12083","Marion County, Florida","28410","1680","12412","1051","217","165","2289","857","5024","1513","550","499","1722","902","355","318","1182","702","1073","897","15998","1107","436","475","1274","819","3965","1255","1308","665","4053","1338","661","400","3054","1319","1247","938"
"0500000US12086","Miami-Dade County, Florida","313797","5536","146823","3422","13290","2262","16623","2928","46500","4422","7092","1458","27148","3297","12366","2462","17422","2957","6382","1628","166974","3567","16492","2328","18894","2550","45496","4092","5835","1288","30732","3489","15269","2316","22126","3064","12130","2317"
"0500000US12091","Okaloosa County, Florida","13639","850","6939","712","399","315","915","643","1221","625","463","296","2284","786","529","482","826","526","302","254","6700","543","59","96","1007","559","1446","567","540","427","1695","748","563","545","222","186","1168","807"
"0500000US12095","Orange County, Florida","179837","3660","83831","1831","2019","797","9649","2479","22907","2780","5150","1686","18118","3188","7602","1757","12706","2737","5680","1770","96006","2632","4631","1435","11341","2619","20904","2888","5226","1853","21450","2845","7269","1620","16323","2579","8862","2191"
"0500000US12097","Osceola County, Florida","27502","2861","13100","1794","882","812","1002","933","4152","1783","1156","856","1988","934","1002","614","2109","1697","809","455","14402","1573","704","779","830","719","3061","1483","1401","885","1949","872","1249","799","2859","1271","2349","1451"
