"GEO_ID","NAME","B20017H_001E","B20017H_001M","B20017H_002E","B20017H_002M","B20017H_003E","B20017H_003M","B20017H_004E","B20017H_004M","B20017H_005E","B20017H_005M","B20017H_006E","B20017H_006M","B20017H_007E","B20017H_007M"
"id","Geographic Area Name","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Total","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Total","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Total","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Total","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Worked full-time, year-round in the past 12 months","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Worked full-time, year-round in the past 12 months","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Other","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Other","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Total","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Total","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Worked full-time, year-round in the past 12 months","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Worked full-time, year-round in the past 12 months","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Other","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Other"
"0500000US06057","Nevada County, California","34518","5718","40139","6820","57289","7363","11551","3729","29240","4126","50362","14472","15784","2553"
"0500000US06059","Orange County, California","53731","2530","70178","2412","91657","1460","19844","1750","42471","1956","66946","1862","16580","941"
"0500000US06061","Placer County, California","50289","2591","60729","3281","80966","2520","16529","1815","38717","3680","66691","6097","15830","2129"
"0500000US06065","Riverside County, California","42290","1133","53390","3030","70908","1205","16458","1145","33264","2840","52173","2348","13004","1744"
"0500000US06067","Sacramento County, California","46393","1303","51378","1099","65570","3188","15834","905","41003","1164","55274","2104","15696","1111"
"0500000US06071","San Bernardino County, California","42553","1602","50483","1200","61817","1403","14148","2036","36797","2082","52390","1931","15003","1341"
"0500000US06073","San Diego County, California","47956","1358","52862","2888","71446","1188","16329","1010","40759","862","60570","1591","16833","834"
"0500000US06075","San Francisco County, California","91115","2029","101962","3296","123589","4756","31300","3335","77069","5708","96553","4476","28871","4962"
"0500000US06077","San Joaquin County, California","42856","4005","57328","6390","67263","4827","16446","1339","33151","4554","47788","4112","15258","2071"
"0500000US06079","San Luis Obispo County, California","36290","1853","42368","6385","70390","6418","9308","2050","31278","1333","51748","3266","12140","2422"
"0500000US06081","San Mateo County, California","76360","3742","92176","5307","121287","10113","21469","2179","61410","2712","91915","6706","20606","1028"
"0500000US06083","Santa Barbara County, California","38797","4003","46891","5337","73364","4631","15111","3761","30149","4029","60517","4900","11750","1232"
"0500000US06085","Santa Clara County, California","74197","4175","95626","6667","124265","6450","22132","3817","52147","1486","81590","1937","17554","1789"
"0500000US06087","Santa Cruz County, California","45524","3723","54388","9162","89119","7949","14122","4855","39562","5754","71906","9219","18617","3678"
"0500000US06089","Shasta County, California","32310","2886","40571","3482","61526","2583","15056","3145","26468","3474","47385","4285","11456","1568"
"0500000US06095","Solano County, California","50856","1986","60710","2609","72891","4253","18092","2869","40709","2790","56857","4421","14163","3184"
"0500000US06097","Sonoma County, California","42051","1889","51326","2980","76576","4548","16711","2370","35304","2331","59007","3655","18999","2289"
"0500000US06099","Stanislaus County, California","41435","2366","50625","2734","63849","4938","17661","2721","32813","3439","50790","2622","12409","1953"
"0500000US06101","Sutter County, California","36766","6024","46677","7075","61977","10047","11418","1386","28994","6183","50486","13899","12342","2892"
"0500000US06107","Tulare County, California","41149","5080","50908","4577","64897","8672","10902","1502","31031","6197","46515","5246","12073","3640"
"0500000US06111","Ventura County, California","48309","3059","60407","3459","80876","2785","16762","1955","37407","2790","61689","2295","15276","1878"
"0500000US06113","Yolo County, California","40321","3471","50051","6979","71878","6445","8671","2869","32429","5345","57179","6349","9339","2776"
"0500000US06115","Yuba County, California","30523","5091","35584","7332","43495","10474","12008","2213","26548","7817","41135","7782","9579","1877"
"0500000US08001","Adams County, Colorado","43172","2228","50318","2008","57322","2862","18611","2312","37388","1885","47386","2253","13896","3034"
"0500000US08005","Arapahoe County, Colorado","46478","1396","54260","3610","67101","2605","16272","1181","40515","1222","52038","1554","16207","1751"
"0500000US08013","Boulder County, Colorado","40682","1291","50858","2080","74348","5500","12355","2675","31680","2010","55180","3522","12366","1253"
"0500000US08014","Broomfield County, Colorado","49472","3577","60658","6325","72186","9598","20718","2430","41430","4488","55660","7690","14375","3279"
"0500000US08031","Denver County, Colorado","52278","1277","60228","2578","72087","2063","23178","4410","47879","2939","60847","1107","20168","1352"
"0500000US08035","Douglas County, Colorado","57269","2856","77289","5118","99755","6190","12181","3313","41638","4065","61482","2299","12223","1364"
"0500000US08041","El Paso County, Colorado","36009","1091","44481","2481","55893","2286","12996","2444","30354","1138","43384","2073","12352","1125"
"0500000US08059","Jefferson County, Colorado","47167","1313","55371","3351","67807","4369","13364","1847","40049","2031","52451","3130","15871","1122"
"0500000US08069","Larimer County, Colorado","37207","1797","46001","4241","60727","3505","11749","1533","30280","1594","47324","2548","12043","1119"
"0500000US08077","Mesa County, Colorado","35471","2493","40633","2842","56016","3526","13896","3119","31994","3786","46322","6737","11638","2941"
"0500000US08101","Pueblo County, Colorado","33320","2329","38051","5329","55198","4898","10095","4997","31112","3160","44827","5557","10166","2315"
"0500000US08123","Weld County, Colorado","41483","1173","53836","4087","66167","2900","12037","2124","31440","999","50570","1882","12408","2008"
"0500000US09001","Fairfield County, Connecticut","59050","3870","71533","1740","98161","5808","15687","1936","46976","2988","71339","2259","14282","1559"
"0500000US09003","Hartford County, Connecticut","51213","834","60478","1387","72082","2800","15395","2082","42035","2091","60855","1654","15803","859"
"0500000US09005","Litchfield County, Connecticut","42457","2632","51132","1281","61724","2153","17056","3973","34661","3976","50701","3187","16774","2278"
"0500000US09007","Middlesex County, Connecticut","51822","2203","60858","3295","75235","3864","13328","3932","44907","4435","63288","7112","20030","3230"
"0500000US09009","New Haven County, Connecticut","49354","2354","57070","4240","71640","2503","12819","2513","40955","1157","60351","2288","14863","1745"
"0500000US09011","New London County, Connecticut","40735","1186","50999","1236","65353","2592","12434","1676","32418","3225","51637","2284","15363","1595"
"0500000US09013","Tolland County, Connecticut","45553","5396","55531","4700","71658","5184","6983","1300","34607","4875","63535","5523","10503","2017"
"0500000US09015","Windham County, Connecticut","37246","2505","45397","3821","55835","3461","11523","2351","30758","1986","45454","3764","9779","3250"
"0500000US10001","Kent County, Delaware","37105","3346","41481","993","46459","1623","13270","4239","30191","4736","43354","4522","9790","2831"
"0500000US10003","New Castle County, Delaware","42364","2641","51027","1695","66874","2482","9833","1318","36575","2101","51408","1423","11046","962"
"0500000US10005","Sussex County, Delaware","32127","1819","37456","4088","50810","2169","9176","1022","28873","3096","38050","5043","11351","1517"
