"Notes"	"County"	"County Code"	"Year"	"Year Code"	Births
	"Davidson County, TN"	"47037"	"2010"	"2010"	211
	"Davidson County, TN"	"47037"	"2011"	"2011"	208
	"Davidson County, TN"	"47037"	"2012"	"2012"	181
	"Davidson County, TN"	"47037"	"2013"	"2013"	136
	"Davidson County, TN"	"47037"	"2014"	"2014"	170
	"Davidson County, TN"	"47037"	"2015"	"2015"	140
	"Knox County, TN"	"47093"	"2007"	"2007"	380
	"Knox County, TN"	"47093"	"2008"	"2008"	379
	"Knox County, TN"	"47093"	"2009"	"2009"	342
	"Knox County, TN"	"47093"	"2010"	"2010"	340
	"Knox County, TN"	"47093"	"2011"	"2011"	282
	"Knox County, TN"	"47093"	"2012"	"2012"	247
	"Knox County, TN"	"47093"	"2013"	"2013"	216
	"Knox County, TN"	"47093"	"2014"	"2014"	216
	"Knox County, TN"	"47093"	"2015"	"2015"	193
	"Shelby County, TN"	"47157"	"2007"	"2007"	211
	"Shelby County, TN"	"47157"	"2008"	"2008"	210
	"Shelby County, TN"	"47157"	"2009"	"2009"	188
	"Shelby County, TN"	"47157"	"2010"	"2010"	166
	"Shelby County, TN"	"47157"	"2011"	"2011"	161
	"Shelby County, TN"	"47157"	"2012"	"2012"	117
	"Shelby County, TN"	"47157"	"2013"	"2013"	111
	"Shelby County, TN"	"47157"	"2014"	"2014"	123
	"Shelby County, TN"	"47157"	"2015"	"2015"	114
	"Richmond city, VA"	"51760"	"2007"	"2007"	34
	"Richmond city, VA"	"51760"	"2008"	"2008"	32
	"Richmond city, VA"	"51760"	"2009"	"2009"	35
	"Richmond city, VA"	"51760"	"2010"	"2010"	12
	"Richmond city, VA"	"51760"	"2011"	"2011"	20
	"Richmond city, VA"	"51760"	"2012"	"2012"	12
	"Richmond city, VA"	"51760"	"2013"	"2013"	19
	"Richmond city, VA"	"51760"	"2014"	"2014"	17
	"Richmond city, VA"	"51760"	"2015"	"2015"	13
"---"
"Dataset: Natality, 2007-2020"
"Query Parameters:"
"Age of Mother 9: 15-19 years"
"Mother's Bridged Race: White"
"Mother's Hispanic Origin: Not Hispanic or Latino"
"States: Jefferson County, AL (01073); Duval County, FL (12031); Marion County, IN (18097); Jefferson County, KY (21111); Kent"
"County, MI (26081); Jackson County, MO (29095); St. Louis County, MO (29189); St. Louis city, MO (29510); Douglas County, NE"
"(31055); Guilford County, NC (37081); Mecklenburg County, NC (37119); Wake County, NC (37183); Franklin County, OH (39049);"
"Hamilton County, OH (39061); Montgomery County, OH (39113); Oklahoma County, OK (40109); Tulsa County, OK (40143); Greenville"
"County, SC (45045); Davidson County, TN (47037); Knox County, TN (47093); Shelby County, TN (47157); Richmond city, VA (51760)"
"Year: 2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014; 2015"
"Group By: County; Year"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"Population Option: No populations shown because rates were not selected."
"---"
"Help: See http://wonder.cdc.gov/wonder/help/Natality.html for more information."
"---"
"Query Date: Feb 25, 2022 12:14:18 PM"
"---"
"Suggested Citation: United States Department of Health and Human Services (US DHHS), Centers for Disease Control and Prevention"
"(CDC), National Center for Health Statistics (NCHS), Division of Vital Statistics, Natality public-use data 2007-2020, on CDC"
"WONDER Online Database, October 2021. Accessed at http://wonder.cdc.gov/natality-current.html on Feb 25, 2022 12:14:18 PM"
"---"
Caveats:
