"GEO_ID","NAME","B08013_001E","B08013_001M","B08013_002E","B08013_002M","B08013_003E","B08013_003M"
"id","Geographic Area Name","Estimate!!Aggregate travel time to work (in minutes)","Margin of Error!!Aggregate travel time to work (in minutes)","Estimate!!Aggregate travel time to work (in minutes)!!Male","Margin of Error!!Aggregate travel time to work (in minutes)!!Male","Estimate!!Aggregate travel time to work (in minutes)!!Female","Margin of Error!!Aggregate travel time to work (in minutes)!!Female"
"1400000US21111012204","Census Tract 122.04, Jefferson County, Kentucky","50945","8672","21345","5174","29600","5601"
"1400000US21111001100","Census Tract 11, Jefferson County, Kentucky","30115","7369","13000","5615","17115","5136"
"1400000US21111000300","Census Tract 3, Jefferson County, Kentucky","17750","4559","6480","3103","11270","4126"
"1400000US21111002300","Census Tract 23, Jefferson County, Kentucky","19120","5854","8875","2177","10245","4559"
"1400000US21111003500","Census Tract 35, Jefferson County, Kentucky","42895","12489","16350","4944","26550","9504"
"1400000US21111005000","Census Tract 50, Jefferson County, Kentucky","10470","2280","4950","1813","5520","1851"
"1400000US21111005300","Census Tract 53, Jefferson County, Kentucky","28895","6985","13880","4156","15015","5026"
"1400000US21111007100","Census Tract 71, Jefferson County, Kentucky","49315","8998","26650","6477","22665","6212"
"1400000US21111000200","Census Tract 2, Jefferson County, Kentucky","21450","6511","12690","5154","8760","3753"
"1400000US21111006600","Census Tract 66, Jefferson County, Kentucky","21430","3673","13900","3780","7530","2431"
"1400000US21111000900","Census Tract 9, Jefferson County, Kentucky","16605","3439","6505","2496","10100","2881"
"1400000US21111002800","Census Tract 28, Jefferson County, Kentucky","19945","4811","8415","3470","11530","3032"
"1400000US21111004500","Census Tract 45, Jefferson County, Kentucky","24670","7604","13120","5170","11550","4712"
"1400000US21111006900","Census Tract 69, Jefferson County, Kentucky","28350","5267","17480","4315","10865","2672"
"1400000US21111006200","Census Tract 62, Jefferson County, Kentucky","23395","6097","13960","5707","9435","2589"
"1400000US21111007501","Census Tract 75.01, Jefferson County, Kentucky","44560","5633","26830","4031","17730","2689"
"1400000US21111007700","Census Tract 77, Jefferson County, Kentucky","21065","3109","12955","2397","8110","1375"
"1400000US21111008200","Census Tract 82, Jefferson County, Kentucky","46285","7556","25530","6040","20755","5309"
"1400000US21111008300","Census Tract 83, Jefferson County, Kentucky","25690","3705","12410","2261","13280","3103"
"1400000US21111009700","Census Tract 97, Jefferson County, Kentucky","25405","2784","13660","2696","11750","1626"
"1400000US21111008700","Census Tract 87, Jefferson County, Kentucky","47005","6846","27735","5543","19270","4153"
"1400000US21111010309","Census Tract 103.09, Jefferson County, Kentucky","52430","5696","29650","4751","22780","3367"
"1400000US21111010307","Census Tract 103.07, Jefferson County, Kentucky","83915","7704","52160","5472","31755","5137"
"1400000US21111011106","Census Tract 111.06, Jefferson County, Kentucky","75400","12894","39605","10286","35795","10437"
"1400000US21111011109","Census Tract 111.09, Jefferson County, Kentucky","26415","2804","15110","2032","11305","1740"
"1400000US21111011403","Census Tract 114.03, Jefferson County, Kentucky","27380","8595","17570","6953","9810","2351"
"1400000US21111011406","Census Tract 114.06, Jefferson County, Kentucky","53600","6755","28560","5901","25040","3668"
"1400000US21111011905","Census Tract 119.05, Jefferson County, Kentucky","80300","15587","40755","9210","39545","8452"
"1400000US21111012103","Census Tract 121.03, Jefferson County, Kentucky","41965","7909","19805","4892","22160","5122"
"1400000US21111012301","Census Tract 123.01, Jefferson County, Kentucky","32445","4442","18045","2730","14400","3700"
"1400000US21111012408","Census Tract 124.08, Jefferson County, Kentucky","26425","3706","13810","2633","12615","2614"
"1400000US21111012603","Census Tract 126.03, Jefferson County, Kentucky","24900","4538","15480","3298","9420","2667"
"1400000US21111011004","Census Tract 110.04, Jefferson County, Kentucky","61625","10392","34965","7216","26660","5893"
"1400000US21111011110","Census Tract 111.10, Jefferson County, Kentucky","81350","10740","43055","5957","38295","7419"
"1400000US21111011906","Census Tract 119.06, Jefferson County, Kentucky","27420","4813","16410","4295","11010","2448"
"1400000US21111011904","Census Tract 119.04, Jefferson County, Kentucky","20505","5439","12385","3262","8125","2777"
"1400000US21111001500","Census Tract 15, Jefferson County, Kentucky","19740","6116","6585","2573","13155","5999"
"1400000US21111005900","Census Tract 59, Jefferson County, Kentucky","37930","12561","18315","9247","19615","7316"
"1400000US21111012104","Census Tract 121.04, Jefferson County, Kentucky","36605","8515","18480","6334","18125","4678"
"1400000US21111002100","Census Tract 21, Jefferson County, Kentucky","20890","4362","14545","3895","6350","1906"
"1400000US21111007400","Census Tract 74, Jefferson County, Kentucky","20425","2238","9705","1857","10720","1698"
"1400000US21111010705","Census Tract 107.05, Jefferson County, Kentucky","64500","7469","31035","4280","33460","6718"
"1400000US21111011404","Census Tract 114.04, Jefferson County, Kentucky","32090","5320","18625","4671","13465","2832"
"1400000US21111012203","Census Tract 122.03, Jefferson County, Kentucky","74295","9855","38485","6485","35805","7437"
