SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,STATE_SCH_ID,NCESID,COOP,COOP_CODE,DEMOGRAPHIC,SUPPRESSED4YR,GRADS4YR,COHORT4YR,GRADRATE4YR,SUPPRESSED5YR,GRADS5YR,COHORT5YR,GRADRATE5YR
20172018,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,ELM,Y,,2,,,,0,
20172018,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,CSG,N,27,31,87.1,N,30,34,88.2
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,ACD,N,11,14,78.6,N,13,17,76.5
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,TST,N,196,200,98.0,N,182,186,97.8
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,SXF,N,94,95,98.9,N,87,87,100.0
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,MIG,Y,,6,,Y,,1,
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,LUP,N,123,126,97.6,N,110,114,96.5
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,LUN,N,73,74,98.6,N,72,72,100.0
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,LEP,,,0,,,,0,
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,LEN,N,196,200,98.0,N,182,186,97.8
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,HOM,Y,,3,,Y,,1,
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,ETW,N,177,180,98.3,N,164,168,97.6
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,ETP,,,0,,,,0,
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,ETO,Y,,5,,Y,,4,
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,ETI,,,0,,Y,,1,
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,ETH,N,11,11,100.0,Y,,7,
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,ETB,Y,,4,,Y,,6,
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,ETA,,,0,,,,0,
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,ELM,Y,,2,,,,0,
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,CSG,N,27,31,87.1,N,30,34,88.2
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,ACO,N,185,186,99.5,N,169,169,100.0
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,SXM,N,102,105,97.1,N,95,99,96.0
20172018,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,ETO,Y,,1,,Y,,3,
20172018,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,ETP,,,0,,,,0,
20172018,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,ETW,N,213,230,92.6,N,201,219,91.8
20172018,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,HOM,,,0,,,,0,
20172018,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,LEN,N,228,247,92.3,N,209,227,92.1
20172018,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,LEP,,,0,,,,0,
20172018,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,LUN,N,105,108,97.2,N,110,114,96.5
20172018,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,LUP,N,123,139,88.5,N,99,113,87.6
20172018,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,MIG,,,0,,,,0,
20172018,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,SXF,N,125,131,95.4,N,98,104,94.2
20172018,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,SXM,N,103,116,88.8,N,111,123,90.2
20172018,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,TST,N,228,247,92.3,N,209,227,92.1
20172018,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,ACD,N,25,33,75.8,N,16,20,80.0
20172018,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,ACO,N,203,214,94.9,N,193,207,93.2
20172018,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,CSG,N,37,46,80.4,N,24,28,85.7
20172018,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,ELM,,,0,,Y,,1,
20172018,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,ETA,Y,,1,,,,0,
20172018,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,ETB,Y,,3,,Y,,1,
20172018,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,ETH,N,11,12,91.7,Y,,4,
20172018,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,ETI,,,0,,,,0,
20172018,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,ACD,N,25,33,75.8,N,16,20,80.0
20172018,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,TST,N,228,247,92.3,N,209,227,92.1
20172018,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,CSG,N,37,46,80.4,N,24,28,85.7
20172018,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,ELM,,,0,,Y,,1,
20172018,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,ETA,Y,,1,,,,0,
20172018,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,ETB,Y,,3,,Y,,1,
20172018,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,ETH,N,11,12,91.7,Y,,4,
20172018,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,ETI,,,0,,,,0,
20172018,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,ETO,Y,,1,,Y,,3,
20172018,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,ETP,,,0,,,,0,
