"GEO_ID","NAME","B15002I_001E","B15002I_001M","B15002I_002E","B15002I_002M","B15002I_003E","B15002I_003M","B15002I_004E","B15002I_004M","B15002I_005E","B15002I_005M","B15002I_006E","B15002I_006M","B15002I_007E","B15002I_007M","B15002I_008E","B15002I_008M","B15002I_009E","B15002I_009M","B15002I_010E","B15002I_010M","B15002I_011E","B15002I_011M","B15002I_012E","B15002I_012M","B15002I_013E","B15002I_013M","B15002I_014E","B15002I_014M","B15002I_015E","B15002I_015M","B15002I_016E","B15002I_016M","B15002I_017E","B15002I_017M","B15002I_018E","B15002I_018M","B15002I_019E","B15002I_019M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Less than 9th grade","Margin of Error!!Total!!Male!!Less than 9th grade","Estimate!!Total!!Male!!9th to 12th grade, no diploma","Margin of Error!!Total!!Male!!9th to 12th grade, no diploma","Estimate!!Total!!Male!!Regular high school diploma","Margin of Error!!Total!!Male!!Regular high school diploma","Estimate!!Total!!Male!!GED or alternative credential","Margin of Error!!Total!!Male!!GED or alternative credential","Estimate!!Total!!Male!!Some college, no degree","Margin of Error!!Total!!Male!!Some college, no degree","Estimate!!Total!!Male!!Associate's degree","Margin of Error!!Total!!Male!!Associate's degree","Estimate!!Total!!Male!!Bachelor's degree","Margin of Error!!Total!!Male!!Bachelor's degree","Estimate!!Total!!Male!!Graduate or professional degree","Margin of Error!!Total!!Male!!Graduate or professional degree","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Less than 9th grade","Margin of Error!!Total!!Female!!Less than 9th grade","Estimate!!Total!!Female!!9th to 12th grade, no diploma","Margin of Error!!Total!!Female!!9th to 12th grade, no diploma","Estimate!!Total!!Female!!Regular high school diploma","Margin of Error!!Total!!Female!!Regular high school diploma","Estimate!!Total!!Female!!GED or alternative credential","Margin of Error!!Total!!Female!!GED or alternative credential","Estimate!!Total!!Female!!Some college, no degree","Margin of Error!!Total!!Female!!Some college, no degree","Estimate!!Total!!Female!!Associate's degree","Margin of Error!!Total!!Female!!Associate's degree","Estimate!!Total!!Female!!Bachelor's degree","Margin of Error!!Total!!Female!!Bachelor's degree","Estimate!!Total!!Female!!Graduate or professional degree","Margin of Error!!Total!!Female!!Graduate or professional degree"
"0500000US35013","Doña Ana County, New Mexico","83949","*****","39810","*****","6609","1151","4606","1336","8828","1915","2454","849","7765","1479","2761","1051","5547","1400","1240","696","44139","*****","8486","1526","4545","1317","9210","1659","2911","808","8513","1671","2979","1054","4796","1018","2699","985"
"0500000US35025","Lea County, New Mexico","21961","*****","11520","*****","2761","672","2567","754","3551","875","362","269","1443","587","523","399","158","145","155","196","10441","*****","1558","624","2226","666","2655","773","395","291","2345","745","711","453","275","179","276","206"
"0500000US35035","Otero County, New Mexico","15012","933","7451","696","1044","494","1388","684","2306","982","254","268","1674","744","188","193","454","365","143","165","7561","626","667","632","1143","794","1468","710","838","598","1654","937","528","431","954","641","309","280"
"0500000US35043","Sandoval County, New Mexico","35418","*****","17121","*****","843","418","2111","656","3329","819","1634","608","3939","955","2539","867","2300","806","426","289","18297","*****","794","314","1724","592","5932","1111","784","543","4378","992","1102","579","2505","783","1078","482"
"0500000US35045","San Juan County, New Mexico","13740","851","6768","496","388","262","530","426","1293","529","887","632","2611","702","488","321","258","236","313","194","6972","478","306","228","293","315","1802","633","339","227","2377","812","1119","428","378","285","358","281"
"0500000US35049","Santa Fe County, New Mexico","49960","*****","24591","*****","3914","1452","2396","738","8291","1306","1450","554","4281","1126","1213","474","1569","478","1477","401","25369","*****","2052","809","3023","1067","8274","1249","1207","565","4394","1059","1493","629","2762","834","2164","582"
"0500000US35061","Valencia County, New Mexico","28951","*****","14381","*****","1540","664","2994","983","3549","1016","1008","576","3328","966","524","345","680","370","758","541","14570","*****","553","406","1805","781","3826","1147","899","636","3729","1166","797","373","1246","576","1715","816"
"0500000US36001","Albany County, New York","9395","951","4595","712","98","194","263","237","713","529","114","196","1279","490","931","715","421","402","776","531","4800","502","464","326","61","81","1030","708","222","238","1531","618","105","100","620","486","767","458"
"0500000US36005","Bronx County, New York","502171","*****","225525","*****","40254","3662","38368","3613","53196","4025","15748","2348","36141","3643","13742","1850","21105","3034","6971","1320","276646","*****","51186","3913","42471","4007","56137","4722","12110","1867","51531","4125","22361","2758","30197","3031","10653","1575"
"0500000US36013","Chautauqua County, New York","5559","451","2851","458","186","179","885","517","761","358","405","336","573","439","41","71","0","201","0","201","2708","330","0","201","612","504","703","636","372","306","358","294","271","234","203","243","189","249"
"0500000US36027","Dutchess County, New York","21541","565","11186","565","1916","744","1352","592","2988","872","529","266","1526","645","943","438","1235","430","697","361","10355","*****","1233","639","1163","482","2656","776","158","201","1850","730","804","420","1664","685","827","446"
"0500000US36029","Erie County, New York","27377","*****","13105","*****","1096","427","2403","756","3411","939","954","476","2508","684","835","429","776","344","1122","452","14272","*****","1320","633","2207","877","2349","874","1473","758","2287","745","1040","602","2329","838","1267","490"
"0500000US36047","Kings County, New York","316261","*****","150201","*****","29934","3018","18293","2343","36320","3048","8540","1418","22067","2611","6894","1408","19559","1845","8594","1467","166060","*****","29373","2998","21326","2264","36391","3112","6554","1229","24383","2335","9346","1318","24087","2185","14600","2081"
"0500000US36055","Monroe County, New York","36181","*****","17005","*****","2259","795","2078","602","4415","915","1183","499","2508","791","1084","399","1805","671","1673","628","19176","*****","1767","481","2551","687","3716","874","1705","565","3773","772","2158","699","2106","725","1400","489"
"0500000US36059","Nassau County, New York","142853","*****","71559","*****","13930","2056","7140","1445","15880","2370","3060","1002","10915","1917","4656","1324","10929","2075","5049","1157","71294","*****","12813","2143","6919","1371","16416","2307","1806","712","10089","1644","5747","1416","9533","1380","7971","1523"
"0500000US36061","New York County, New York","297170","*****","138740","*****","20928","3486","16858","2963","25472","3088","10030","2191","24350","3664","7310","2126","20598","2925","13194","2331","158430","*****","33203","3819","14096","2457","28701","3785","6793","1864","22157","3507","8100","1866","30157","3196","15223","2451"
"0500000US36065","Oneida County, New York","7682","477","4388","359","730","346","503","327","1140","603","279","185","1100","561","358","328","135","158","143","135","3294","310","205","190","325","192","767","346","135","164","720","297","410","357","613","440","119","126"
"0500000US36067","Onondaga County, New York","11038","540","5497","483","147","142","1208","540","949","413","444","327","949","499","569","327","510","340","721","401","5541","374","181","174","1204","587","396","257","435","296","1005","475","784","562","934","565","602","417"
"0500000US36071","Orange County, New York","45064","*****","22267","*****","2053","709","2492","921","6671","1392","1327","611","2873","1099","3474","1136","2343","934","1034","496","22797","*****","1599","630","2077","1136","5310","1213","1543","756","2598","939","3250","952","3979","1156","2441","909"
