GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Less than 9th grade,Margin of Error; Male: - Less than 9th grade,"Estimate; Male: - 9th to 12th grade, no diploma","Margin of Error; Male: - 9th to 12th grade, no diploma",Estimate; Male: - High school graduate (includes equivalency),Margin of Error; Male: - High school graduate (includes equivalency),"Estimate; Male: - Some college, no degree","Margin of Error; Male: - Some college, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Graduate degree,Margin of Error; Male: - Graduate degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Less than 9th grade,Margin of Error; Female: - Less than 9th grade,"Estimate; Female: - 9th to 12th grade, no diploma","Margin of Error; Female: - 9th to 12th grade, no diploma",Estimate; Female: - High school graduate (includes equivalency),Margin of Error; Female: - High school graduate (includes equivalency),"Estimate; Female: - Some college, no degree","Margin of Error; Female: - Some college, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Graduate degree,Margin of Error; Female: - Graduate degree
0500000US12097,12097,"Osceola County, Florida",82103,422,39889,414,794,416,4310,869,13637,1537,8451,1161,3438,1053,5938,1065,3321,1035,42214,152,944,451,2972,804,16714,1774,9552,1296,3920,880,5924,1072,2188,706
0500000US12099,12099,"Palm Beach County, Florida",638223,1342,298587,1063,5312,1122,18245,2548,72680,3854,62100,3975,22416,2031,72245,3836,45589,2861,339636,527,6414,1460,20817,2463,102025,4141,72975,3750,31373,2527,68029,3704,38003,2210
0500000US12101,12101,"Pasco County, Florida",281464,469,132605,329,5108,1092,16216,2175,46698,3116,28024,2198,10027,1480,19018,1933,7514,1235,148859,188,3728,870,16808,2190,60354,3092,30532,3090,13000,1749,17419,1981,7018,1372
0500000US12103,12103,"Pinellas County, Florida",566797,913,264880,561,6863,1477,22336,2739,77856,4081,55503,3512,21891,2638,51318,3418,29113,2471,301917,451,8399,1430,22423,2122,99089,4292,66476,3691,28699,2438,49834,3283,26997,2473
0500000US12105,12105,"Polk County, Florida",279973,632,133240,341,5662,980,17116,1823,48402,2868,25089,2210,9623,1506,17986,1959,9362,1060,146733,429,4668,1016,16596,1841,56019,3373,30668,2337,12427,1666,18808,1763,7547,1204
0500000US12107,12107,"Putnam County, Florida",39666,300,19196,300,879,446,3123,1177,8017,1278,3085,755,1659,727,1975,675,458,317,20470,300,649,383,2452,981,10056,1145,3162,767,1804,709,1415,622,932,455
0500000US12109,12109,"St. Johns County, Florida",105960,300,51444,300,693,402,3503,894,11642,1565,13275,1645,3825,942,11019,1298,7487,1223,54516,300,828,491,3184,1109,15920,2128,12523,1740,4456,904,11855,1536,5750,1124
0500000US12111,12111,"St. Lucie County, Florida",127817,482,60824,438,1359,663,6074,1497,19319,1680,15099,1782,5783,1185,8257,1388,4933,998,66993,130,1156,515,6517,1304,23533,2274,17422,1783,6040,1243,8490,1270,3835,1001
0500000US12113,12113,"Santa Rosa County, Florida",87421,300,42990,300,1144,641,4122,1133,13951,1734,10119,1531,3622,964,7014,1214,3018,796,44431,300,1945,1092,4495,1188,14870,1990,10104,1347,3435,789,6916,1369,2666,750
0500000US12115,12115,"Sarasota County, Florida",257529,238,120236,143,2724,854,7864,1501,35442,2432,27027,2425,7776,1479,22802,2237,16601,1982,137293,195,3525,981,9241,1398,45782,2505,32092,2323,11158,1455,22456,2197,13039,1702
0500000US12117,12117,"Seminole County, Florida",199999,465,97500,126,1338,633,6578,1379,25107,2380,21037,2201,7866,1285,23961,2164,11613,1519,102499,456,1499,659,5709,1345,29920,2358,22366,2063,9977,1514,23602,1903,9426,1599
0500000US12119,12119,"Sumter County, Florida",43094,2006,22457,811,986,788,3823,1252,8846,1775,3236,963,2024,1087,1927,623,1615,538,20637,1483,443,334,1674,572,8912,1569,6079,1731,1562,601,1105,532,862,460
0500000US12127,12127,"Volusia County, Florida",290560,152,138107,152,4254,1095,13035,1993,45239,2816,30595,2674,12798,1884,19746,2130,12440,1545,152453,300,4549,1082,12138,1879,56309,3231,33304,2375,16768,2027,18235,2193,11150,1233
0500000US13015,13015,"Bartow County, Georgia",50114,168,24227,155,1221,520,3594,1119,10898,1448,3679,1013,913,317,2573,862,1349,480,25887,66,1594,648,3376,693,10901,1508,3861,891,1588,668,3760,996,807,407
0500000US13021,13021,"Bibb County, Georgia",50060,292,23211,292,997,582,3191,881,5107,1112,4493,1041,1238,532,5435,900,2750,626,26849,292,942,430,2530,798,9121,1301,4745,1010,1922,699,4835,950,2754,719
0500000US13045,13045,"Carroll County, Georgia",54748,292,26103,292,1719,604,4164,979,9026,1446,4359,1005,1733,884,3920,951,1182,434,28645,292,1619,589,3996,1038,10784,1353,4630,878,2023,742,3071,854,2522,780
0500000US13051,13051,"Chatham County, Georgia",89684,157,42520,157,555,318,2858,741,10482,1231,7588,1058,3529,897,10653,1193,6855,985,47164,292,995,424,3550,914,12602,1344,7713,1026,4435,929,11153,1264,6716,1107
0500000US13057,13057,"Cherokee County, Georgia",106465,134,51810,76,1201,474,3838,938,12083,1669,10485,1578,4186,1225,14109,1576,5908,1126,54655,59,1215,519,3257,953,14764,1586,12710,1512,4593,1029,13416,1557,4700,1101
0500000US13059,13059,"Clarke County, Georgia",31901,223,15519,129,112,117,489,252,1820,534,3045,606,397,205,5317,773,4339,750,16382,96,459,254,869,322,1944,692,3547,733,956,363,4630,725,3977,642
0500000US13063,13063,"Clayton County, Georgia",41335,292,19270,292,903,458,2711,962,6731,965,4857,1106,646,393,2113,671,1309,502,22065,292,941,559,3568,894,8834,1184,4730,958,973,413,1954,605,1065,551
0500000US13067,13067,"Cobb County, Georgia",284275,1439,137156,709,2390,747,7388,1370,24742,2220,26236,2451,7319,1236,44241,2821,24840,2050,147119,892,3437,932,7951,1469,34717,2712,29273,2479,11476,1513,41218,2986,19047,2209
0500000US13073,13073,"Columbia County, Georgia",53882,304,25606,304,532,362,1791,640,7777,1165,4509,900,1395,410,5727,935,3875,854,28276,292,704,355,1900,643,8618,1453,7306,1199,2065,685,5086,953,2597,678
0500000US13077,13077,"Coweta County, Georgia",58075,113,28316,113,748,398,2895,1081,8383,1178,7047,1228,1730,671,5589,731,1924,580,29759,292,849,428,1468,564,11265,1165,6717,1030,1703,650,5566,964,2191,786
0500000US13089,13089,"DeKalb County, Georgia",169397,443,80096,431,1518,639,2928,957,9702,1646,12218,1632,3206,957,30514,2429,20010,1616,89301,96,2226,1090,3416,772,12908,1936,13689,1739,5395,1310,32740,2392,18927,2003
0500000US13095,13095,"Dougherty County, Georgia",22966,292,10683,292,460,282,1337,539,3068,748,2360,653,283,239,1699,569,1476,531,12283,292,347,249,1234,479,3362,798,3179,742,717,341,2806,813,638,361
0500000US13097,13097,"Douglas County, Georgia",47235,130,22874,97,723,337,2487,816,7801,1158,4593,1163,1263,539,3917,880,2090,659,24361,83,727,403,2193,805,10561,1229,4745,918,1499,792,3000,799,1636,558
0500000US13113,13113,"Fayette County, Georgia",53741,243,25569,98,48,81,1151,506,5806,989,5733,1047,1074,408,6329,908,5428,920,28172,165,347,228,1401,467,8764,1040,6402,969,1731,514,6239,888,3288,745
0500000US13115,13115,"Floyd County, Georgia",49816,292,23402,292,1467,515,3150,917,7331,1200,5272,1022,1541,731,2776,862,1865,757,26414,292,1880,680,3536,916,8499,1197,5345,1243,1257,563,3252,1000,2645,787
