SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,STATE_SCH_ID,NCESID,COOP,COOP_CODE,DEMOGRAPHIC,SUPPRESSED,GRADS,ACADEMIC,ACADEMICALT,CAREER,CAREERALT,NONDUP,EL,BONUS,TRANSITIONRATE,TRANRATEWBONUS
20172018,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,FOS,Y,1,,,,,,,,,
20172018,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,SXM,N,117,60,0,20,0,72,1,5,61.5,62.6
20172018,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,SXF,N,153,71,0,33,0,88,0,2,57.5,57.8
20172018,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,MIL,Y,0,,,,,,,,,
20172018,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,ETP,Y,0,,,,,,,,,
20172018,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,ETO,Y,7,,,,,,,,,
20172018,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,ETI,Y,1,,,,,,,,,
20172018,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,ETH,Y,9,,,,,,,,,
20172018,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,ETB,Y,2,,,,,,,,,
20172018,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,ETA,Y,1,,,,,,,,,
20172018,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,ELM,Y,2,,,,,,,,,
20172018,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,CSG,N,39,10,0,0,0,11,1,0,28.2,28.2
20172018,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,ACO,N,249,128,0,53,0,157,1,7,63.1,63.8
20172018,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,ACD,N,21,3,0,0,0,3,0,0,14.3,14.3
20172018,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,MIG,Y,0,,,,,,,,,
20172018,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,LUP,N,91,36,0,17,0,44,1,3,48.4,49.2
