"GEO_ID","NAME","B20017_001E","B20017_001M","B20017_002E","B20017_002M","B20017_003E","B20017_003M","B20017_004E","B20017_004M","B20017_005E","B20017_005M","B20017_006E","B20017_006M","B20017_007E","B20017_007M"
"id","Geographic Area Name","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Total (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Total (dollars)","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Total (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Total (dollars)","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Worked full-time, year-round in the past 12 months (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Worked full-time, year-round in the past 12 months (dollars)","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Other (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Other (dollars)","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Total (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Total (dollars)","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Worked full-time, year-round in the past 12 months (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Worked full-time, year-round in the past 12 months (dollars)","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Other (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Other (dollars)"
"0500000US12107","Putnam County, Florida","25473","3464","29417","3958","41672","9987","10093","3948","21880","2858","31291","2884","12107","3732"
"0500000US12109","St. Johns County, Florida","37707","4582","46857","8416","68442","7666","13967","4148","31232","2117","50603","2459","12725","1900"
"0500000US12111","St. Lucie County, Florida","30607","1656","32325","2027","41379","2887","10101","1578","27731","2835","34939","2735","11858","1241"
"0500000US12113","Santa Rosa County, Florida","36941","2032","43673","6913","55442","5211","16371","4616","28878","4338","40123","3282","13564","4037"
"0500000US12115","Sarasota County, Florida","31551","821","34919","4299","46408","2107","11603","904","30498","1050","41225","2236","13482","1889"
"0500000US12117","Seminole County, Florida","37109","1463","41041","1431","50704","1851","14434","3454","32913","2012","42860","2989","16665","1747"
"0500000US12119","Sumter County, Florida","22221","3794","27330","8898","43928","8225","12498","2878","20622","3691","36363","5900","10802","1695"
"0500000US12127","Volusia County, Florida","31242","689","34022","1735","43346","3008","12439","1223","27912","1265","35448","1941","11841","784"
"0500000US12131","Walton County, Florida","30405","4856","34425","8033","42381","4168","12488","4196","25709","5390","36982","6216","10524","4425"
"0500000US13013","Barrow County, Georgia","31528","1484","40444","3484","45859","2541","8474","2063","27463","2739","36847","4346","10605","1348"
"0500000US13015","Bartow County, Georgia","31793","2675","40153","2880","43713","6869","14066","11107","24562","3674","36865","4409","10382","5118"
"0500000US13021","Bibb County, Georgia","26849","1699","31303","2684","44839","4760","13528","3849","24133","2709","33062","2984","8563","1722"
"0500000US13031","Bulloch County, Georgia","22346","3833","26900","4975","42471","10685","6488","1195","20994","2580","33850","5567","8534","1523"
"0500000US13045","Carroll County, Georgia","30376","1794","34191","4252","44439","3117","10573","1328","22094","3623","35062","3228","7187","1613"
"0500000US13047","Catoosa County, Georgia","32935","1954","36578","4476","46448","5710","7569","4091","26745","5715","35634","2798","14383","4440"
"0500000US13051","Chatham County, Georgia","30324","1326","35084","2999","47401","4373","11126","1843","25703","1368","39006","4029","11220","962"
"0500000US13057","Cherokee County, Georgia","38633","3662","47074","3361","57111","7449","11066","1547","30435","3175","50075","5248","11919","1848"
"0500000US13059","Clarke County, Georgia","20271","1443","21322","1752","41102","5801","7247","1834","18306","3420","36342","2000","7126","1605"
