State code (STATEFIP),State name,PUMA of Migration (MIGPUMA or MIGPUMA1),PUMA (PUMA)
36,New York,200,200
36,New York,300,300
36,New York,400,00401-00402
36,New York,500,500
36,New York,600,600
36,New York,790,00700-00804
36,New York,990,00901-01005
36,New York,1100,1100
36,New York,1200,1200
36,New York,1300,1300
36,New York,1490,"01401-01402, 01601-01605"
36,New York,1500,01501-01502
36,New York,1700,1700
36,New York,1800,1800
36,New York,1900,1900
36,New York,2000,2000
36,New York,2100,2100
36,New York,2200,02201-02202
36,New York,2300,2300
36,New York,2400,02401-02402
36,New York,2500,2500
36,New York,2600,02601-02602
36,New York,2700,2700
36,New York,2800,2800
36,New York,2900,2900
36,New York,3000,3000
36,New York,3100,03101-03102
36,New York,3200,03201-03202
36,New York,3300,03301-03303
36,New York,3490,03400-03506
36,New York,3600,03601-03602
36,New York,3700,03701-03710
36,New York,3800,03801-03810
36,New York,3900,03901-03903
36,New York,4000,04001-04018
36,New York,4100,04101-04114
36,New York,4200,04201-04212
36,New York,4300,04301-04312
37,North Carolina,100,100
37,North Carolina,200,00201-00202
37,North Carolina,300,300
37,North Carolina,400,400
37,North Carolina,500,500
37,North Carolina,600,600
37,North Carolina,700,700
37,North Carolina,800,800
37,North Carolina,990,00901-01000
37,North Carolina,1100,1100
37,North Carolina,1200,1200
37,North Carolina,1300,1300
37,North Carolina,1400,1400
37,North Carolina,1500,1500
37,North Carolina,1690,01601-01700
37,North Carolina,1890,01800-01900
37,North Carolina,2000,2000
37,North Carolina,2100,2100
37,North Carolina,2200,2200
37,North Carolina,2300,2300
37,North Carolina,2400,2400
37,North Carolina,2500,2500
37,North Carolina,2690,02601-02802
37,North Carolina,2900,2900
37,North Carolina,3000,3000
37,North Carolina,3100,3100
37,North Carolina,3200,3200
37,North Carolina,3300,3300
37,North Carolina,3400,3400
37,North Carolina,3500,3500
37,North Carolina,3690,03600-03700
37,North Carolina,3800,3800
37,North Carolina,3900,3900
37,North Carolina,4000,4000
37,North Carolina,4100,4100
37,North Carolina,4200,4200
37,North Carolina,4300,4300
37,North Carolina,4400,4400
37,North Carolina,4500,4500
37,North Carolina,4600,4600
37,North Carolina,4700,4700
37,North Carolina,4800,4800
38,North Dakota,100,100
38,North Dakota,200,200
38,North Dakota,300,300
38,North Dakota,400,400
38,North Dakota,500,500
39,Ohio,100,100
39,Ohio,290,00201-00303
39,Ohio,400,400
39,Ohio,500,00501-00502
39,Ohio,600,00601-00612
39,Ohio,700,00701-00703
39,Ohio,800,800
39,Ohio,900,00901-00904
39,Ohio,1000,1000
39,Ohio,1190,01101-01202
39,Ohio,1300,1300
39,Ohio,1400,1400
39,Ohio,1500,1500
39,Ohio,1600,1600
39,Ohio,1700,1700
39,Ohio,1800,1800
39,Ohio,1900,1900
39,Ohio,2000,2000
39,Ohio,2100,2100
39,Ohio,2200,02201-02203
39,Ohio,2300,2300
39,Ohio,2400,2400
39,Ohio,2500,2500
39,Ohio,2600,2600
39,Ohio,2700,2700
39,Ohio,2800,2800
39,Ohio,2900,2900
39,Ohio,3000,03001-03002
39,Ohio,3100,03101-03109
39,Ohio,3200,3200
39,Ohio,3300,3300
39,Ohio,3400,3400
39,Ohio,3500,3500
39,Ohio,3600,3600
39,Ohio,3700,3700
39,Ohio,3800,3800
39,Ohio,3900,3900
39,Ohio,4090,04000-04103
39,Ohio,4200,4200
39,Ohio,4300,04301-04302
39,Ohio,4490,04401-04503
